Source.Name,Archive_Date,Specialty_HIPE,Case_Type,Adult_Child,Age_Profile,Time_Bands,Total,Speciality_Name
IN_WL 2020.csv,2020-01-31,2600,Day Case,Adult,65+,12-15 Months,1,General Surgery
IN_WL 2020.csv,2020-01-31,2600,Day Case,Adult,65+,12-15 Months,1,General Surgery
IN_WL 2020.csv,2020-01-31,2600,Day Case,Adult,65+,12-15 Months,1,General Surgery
IN_WL 2020.csv,2020-01-31,2600,Day Case,Adult,65+,12-15 Months,1,General Surgery
IN_WL 2020.csv,2020-01-31,2600,Day Case,Adult,65+,12-15 Months,1,General Surgery
IN_WL 2020.csv,2020-01-31,2600,Day Case,Adult,65+,12-15 Months,1,General Surgery
IN_WL 2020.csv,2020-01-31,2600,Day Case,Adult,65+,12-15 Months,1,General Surgery
IN_WL 2020.csv,2020-01-31,2600,Day Case,Adult,65+,12-15 Months,1,General Surgery
IN_WL 2020.csv,2020-01-31,2600,Day Case,Adult,65+,12-15 Months,1,General Surgery
IN_WL 2020.csv,2020-01-31,2600,Day Case,Adult,65+,12-15 Months,1,General Surgery
IN_WL 2020.csv,2020-02-29,2600,Day Case,Adult,65+,12-15 Months,1,General Surgery
IN_WL 2020.csv,2020-02-29,2600,Day Case,Adult,65+,12-15 Months,1,General Surgery
IN_WL 2020.csv,2020-02-29,2600,Day Case,Adult,65+,12-15 Months,1,General Surgery
IN_WL 2020.csv,2020-02-29,2600,Day Case,Adult,65+,12-15 Months,1,General Surgery
IN_WL 2020.csv,2020-02-29,2600,Day Case,Adult,65+,12-15 Months,1,General Surgery
IN_WL 2020.csv,2020-02-29,2600,Day Case,Adult,65+,12-15 Months,1,General Surgery
IN_WL 2020.csv,2020-02-29,2600,Day Case,Adult,65+,12-15 Months,1,General Surgery
IN_WL 2020.csv,2020-03-31,2600,Day Case,Adult,65+,12-15 Months,1,General Surgery
IN_WL 2020.csv,2020-03-31,2600,Day Case,Adult,65+,12-15 Months,1,General Surgery
IN_WL 2020.csv,2020-03-31,2600,Day Case,Adult,65+,12-15 Months,1,General Surgery
IN_WL 2020.csv,2020-03-31,2600,Day Case,Adult,65+,12-15 Months,1,General Surgery
IN_WL 2020.csv,2020-03-31,2600,Day Case,Adult,65+,12-15 Months,1,General Surgery
IN_WL 2020.csv,2020-04-30,2600,Day Case,Adult,65+,12-15 Months,1,General Surgery
IN_WL 2020.csv,2020-04-30,2600,Day Case,Adult,65+,12-15 Months,1,General Surgery
IN_WL 2020.csv,2020-04-30,2600,Day Case,Adult,65+,12-15 Months,1,General Surgery
IN_WL 2020.csv,2020-05-31,2600,Day Case,Adult,65+,12-15 Months,1,General Surgery
IN_WL 2020.csv,2020-05-31,2600,Day Case,Adult,65+,12-15 Months,1,General Surgery
IN_WL 2020.csv,2020-05-31,2600,Day Case,Adult,65+,12-15 Months,1,General Surgery
IN_WL 2020.csv,2020-05-31,2600,Day Case,Adult,65+,12-15 Months,1,General Surgery
IN_WL 2020.csv,2020-05-31,2600,Day Case,Adult,65+,12-15 Months,1,General Surgery
IN_WL 2020.csv,2020-06-30,2600,Day Case,Adult,65+,12-15 Months,1,General Surgery
IN_WL 2020.csv,2020-06-30,2600,Day Case,Adult,65+,12-15 Months,1,General Surgery
IN_WL 2020.csv,2020-06-30,2600,Day Case,Adult,65+,12-15 Months,1,General Surgery
IN_WL 2020.csv,2020-06-30,2600,Day Case,Adult,65+,12-15 Months,1,General Surgery
IN_WL 2020.csv,2020-06-30,2600,Day Case,Adult,65+,12-15 Months,1,General Surgery
IN_WL 2020.csv,2020-06-30,2600,Day Case,Adult,65+,12-15 Months,1,General Surgery
IN_WL 2020.csv,2020-06-30,2600,Day Case,Adult,65+,12-15 Months,1,General Surgery
IN_WL 2020.csv,2020-07-31,2600,Day Case,Adult,65+,12-15 Months,1,General Surgery
IN_WL 2020.csv,2020-07-31,2600,Day Case,Adult,65+,12-15 Months,1,General Surgery
IN_WL 2020.csv,2020-07-31,2600,Day Case,Adult,65+,12-15 Months,1,General Surgery
IN_WL 2020.csv,2020-07-31,2600,Day Case,Adult,65+,12-15 Months,1,General Surgery
IN_WL 2020.csv,2020-07-31,2600,Day Case,Adult,65+,12-15 Months,1,General Surgery
IN_WL 2020.csv,2020-07-31,2600,Day Case,Adult,65+,12-15 Months,1,General Surgery
IN_WL 2020.csv,2020-07-31,2600,Day Case,Adult,65+,12-15 Months,1,General Surgery
IN_WL 2020.csv,2020-08-31,2600,Day Case,Adult,65+,12-15 Months,1,General Surgery
